id,puzzle_path,weight_mode,include_filled_edges,algorithm,solved,solve_time_ms,decision_count,fiedler_value,trace_laplacian,created_at_utc
64,/home/blake/m508/custompuzzles/Custom-0004.txt,binary,0,BacktrackingSolver,1,0.502544,173,0.0,552.0,2026-02-16T18:02:58.328Z
65,/home/blake/m508/custompuzzles/Custom-0004.txt,binary,0,ForwardCheckingSolver,1,0.638891,48,0.0,552.0,2026-02-16T18:02:58.329Z
66,/home/blake/m508/custompuzzles/Custom-0004.txt,binary,0,AC3Solver,1,9.876932,48,0.0,552.0,2026-02-16T18:02:58.339Z
67,/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,0,BacktrackingSolver,1,0.45585,173,0.0,66.0,2026-02-16T18:02:58.350Z
68,/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,0,ForwardCheckingSolver,1,0.575824,48,0.0,66.0,2026-02-16T18:02:58.351Z
69,/home/blake/m508/custompuzzles/Custom-0004.txt,overlap,0,AC3Solver,1,9.856179,48,0.0,66.0,2026-02-16T18:02:58.361Z
70,/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,0,BacktrackingSolver,1,0.474817,173,0.0,126000347.99968901,2026-02-16T18:02:58.372Z
71,/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,0,ForwardCheckingSolver,1,0.609081,48,0.0,126000347.99968901,2026-02-16T18:02:58.372Z
72,/home/blake/m508/custompuzzles/Custom-0004.txt,inv_overlap,0,AC3Solver,1,8.980537,48,0.0,126000347.99968901,2026-02-16T18:02:58.382Z
73,/home/blake/m508/custompuzzles/Custom-0005.txt,binary,1,BacktrackingSolver,1,0.499117,181,8.999999999999975,1620.0,2026-02-16T18:02:58.392Z
74,/home/blake/m508/custompuzzles/Custom-0005.txt,binary,1,ForwardCheckingSolver,1,0.574465,49,8.999999999999975,1620.0,2026-02-16T18:02:58.393Z
75,/home/blake/m508/custompuzzles/Custom-0005.txt,binary,1,AC3Solver,1,9.558142,49,8.999999999999975,1620.0,2026-02-16T18:02:58.403Z
76,/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,1,BacktrackingSolver,1,0.469344,181,0.0,71.55555555555556,2026-02-16T18:02:58.415Z
77,/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,1,ForwardCheckingSolver,1,0.592875,49,0.0,71.55555555555556,2026-02-16T18:02:58.415Z
78,/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,1,AC3Solver,1,9.484827,49,0.0,71.55555555555556,2026-02-16T18:02:58.426Z
79,/home/blake/m508/custompuzzles/Custom-0005.txt,inv_overlap,1,BacktrackingSolver,1,0.543512,181,4860839.756455581,1214000307.9997344,2026-02-16T18:02:58.438Z
