rank,prime,time_ns
37008008,715389439,20093273
37299644,721335599,20361083
37348351,722328371,21093177
37377045,722913031,19983528
37908308,733760519,20188141
38021248,736065739,20307590
38056779,736792249,20277564
38070423,737071303,20384546
38111334,737907887,20837090
38130363,738294983,20319956
38306254,741879139,20399245
38443384,744683347,20321595
38470377,745237763,20531592
39171602,759578311,21096958
39181443,759779399,21611191
39193448,760025257,21042827
39291752,762033887,20723081
39963540,775783213,20898160
40410310,784926871,20956628
40410437,784929647,20966380
40675434,790351943,21406534
40775736,792406801,21126263
40821399,793343363,21749992
41129652,799660091,21053555
41388997,804975113,21308635
42107202,819705457,22091942
42183814,821277731,21478602
42252391,822685849,21520121
42391568,825546419,21506866
42552074,828842029,21693718
42586592,829550143,22001082
42788181,833688853,22192816
42872379,835418357,21798803
43481057,847931191,21785305
43547074,849284327,21871785
43574070,849837679,22024547
43588475,850133657,21795092
43689955,852223121,21842824
43914236,856834183,21826489
43987989,858352421,24366812
44035087,859322221,22099323
44371996,866260903,22022546
44415985,867163663,22512375
44889267,876909749,24972342
45391730,887266151,25393837
45740140,894445921,24732515
46079681,901448593,22621328
46128325,902454697,22478735
46372740,907493063,22613376
46553218,911209031,22547281
46554709,911239733,23245293
46721502,914677399,22526953
47354143,927736549,22838880
47442779,929571961,22862201
47629048,933417893,22776328
47764881,936220283,23520049
48335378,948011833,22880728
48616888,953835601,23047952
48858181,958820141,23018096
49001370,961778101,23262625
49401427,970053947,23439299
49424588,970530193,23355168
49755005,977377189,23450802
50223969,987082669,23600324
51160252,1006482353,23689263
51878346,1021368463,23953429
51879241,1021385921,24034195
52116320,1026304339,23943710
52891450,1042391591,24249946
53332034,1051548989,24503426
53473830,1054492871,25177279
53476284,1054544419,24612196
53509619,1055240393,24363351
53609649,1057323521,24361772
53754676,1060335257,24170421
53950047,1064396029,24522825
54180654,1069181213,24409055
54661878,1079194267,26752044
54755442,1081141393,26918125
54866201,1083437309,26723026
55156784,1089480937,27308751
55271035,1091856593,26890755
55730600,1101422143,27017919
55808170,1103035277,27439089
55910759,1105168847,27018541
56042430,1107910373,28250051
56313956,1113567097,27363447
56539181,1118262979,27299551
56852569,1124794963,27262347
57005684,1127986513,27467852
57274642,1133596447,27323026
57435465,1136962213,27609880
57915882,1146987869,27578557
58223556,1153399453,27865360
58284818,1154678363,27785540
58559903,1160421179,27583957
58970894,1168996193,27800254
59076690,1171203629,28073911
59220949,1174210943,27865454
59326107,1176407399,28075366
59420894,1178391673,27943099
59472657,1179469573,28281760
59651795,1183218637,28019915
59709757,1184431459,28474755
59747841,1185228251,28217144
60214907,1194989843,28945280
60521591,1201399159,29498936
61096390,1213423303,28294062
61164485,1214846861,28389940
61247915,1216591867,28947030
61327426,1218253501,28385573
61436471,1220530009,28433001
61732119,1226728589,28513251
62231513,1237180631,29274100
62543990,1243731581,28608076
62716882,1247345719,28739415
62946649,1252156067,28862050
63477199,1263274031,29758045
63880690,1271720851,28983869
63970019,1273596449,28955340
64793085,1290857459,31178041
64802716,1291058737,29280046
65807105,1312136807,29462246
65843638,1312904821,29418500
65940892,1314948403,29471005
66315746,1322823169,29872541
66492366,1326536567,29865915
66933422,1335800779,29853000
68037048,1358986927,29889978
68307496,1364674001,30223392
68762208,1374244297,30091184
68838093,1375844551,30174126
68940851,1378009693,30190067
69091760,1381186241,30506840
69204972,1383566959,30326047
69568436,1391220557,30277901
69972292,1399722923,30403649
70061837,1401611347,31471396
70163128,1403744981,30417572
70385006,1408422247,30577680
71069168,1422836567,32249291
71267891,1427028367,30973491
71481347,1431524173,30741351
71615802,1434362929,30745529
71813348,1438529017,33931558
