rank,prime,time_ns
109564299,2243572673,723411
109735240,2247248713,698102
109867770,2250102559,724270
109882009,2250409639,650151
109946337,2251789369,700992
109991298,2252757677,672972
110173617,2256686651,664194
110326184,2259976561,667486
110948109,2273350787,626749
111168210,2278086101,721132
111222979,2279269589,725904
111433945,2283825127,654361
111841246,2292595693,719801
111910029,2294077453,670657
112101128,2298196399,740985
112128669,2298787987,633538
112231063,2300993743,654087
112249974,2301403607,684457
112428473,2305253479,671416
112433688,2305366813,687018
112759863,2312398279,701164
112913297,2315701979,687258
112980847,2317156537,670825
113136549,2320524781,688520
113983914,2338803739,670169
114024150,2339669989,709093
114032131,2339844037,742766
114144930,2342280469,697526
114257256,2344705787,723628
114421137,2348243701,779976
114648978,2353157267,635832
114743238,2355195389,726457
114874668,2358030617,661963
114921893,2359049989,676286
115171654,2364447731,749922
115549070,2372589671,706371
115710700,2376078629,632982
115766106,2377272791,714065
115818529,2378404943,689736
116172015,2386036703,687102
116252769,2387779739,665064
116466048,2392387423,745022
117087634,2405820611,707581
117231928,2408937761,709403
117364493,2411801659,698227
117493047,2414581249,782406
117530452,2415391379,763656
117844036,2422167353,714941
117890373,2423166749,717756
118004092,2425619671,628117
118009202,2425729729,700643
118463425,2435548961,696621
118524903,2436878123,730322
118564688,2437736837,672804
118853081,2443969651,669147
118903408,2445055513,709873
118964455,2446372373,662352
119385264,2455475221,685277
119552578,2459092277,667025
119562562,2459308363,648358
119866602,2465892217,722123
119953724,2467775209,679016
120068238,2470250303,743845
120082117,2470549097,674260
120486862,2479294469,652699
120606579,2481881419,693839
120780371,2485640609,704661
120973217,2489822143,756247
121021965,2490877643,714289
121181275,2494325489,731030
121385523,2498748191,779997
121941671,2510782279,758785
122004203,2512137403,745981
122098324,2514169079,745101
122295207,2518427411,667541
122300818,2518548853,671627
122373509,2520125371,717158
122422804,2521190869,692572
122456465,2521919261,730939
122911194,2531762173,805524
123266921,2539458331,720874
123435265,2543101739,740583
123755880,2550044171,748873
123829684,2551644923,672157
124303264,2561897743,735146
124320329,2562266141,728631
124475883,2565635977,776378
125134913,2579906761,652656
125674205,2591591291,720914
125739755,2593010569,694152
125902348,2596537501,671499
126011983,2598913717,711423
126123431,2601330911,713360
126188072,2602732211,670425
126500120,2609506271,754241
127044334,2621303059,710895
127244518,2625646867,610040
127375056,2628478507,703961
127596438,2633281219,713743
127622145,2633835881,742781
127826932,2638284017,671372
127867492,2639167387,765771
127909075,2640068413,774678
127949724,2640951967,752458
128382399,2650343369,749527
128394174,2650598957,775252
128438460,2651562491,717084
128460049,2652031667,699128
128561467,2654233577,702548
128836724,2660202073,737105
128903250,2661647291,717991
129289172,2670024439,749359
129454666,2673617593,736617
129539459,2675454739,705348
129589051,2676528083,710153
129709890,2679151337,721993
129877862,2682799423,740148
130072821,2687038741,660503
